"","docid","cluster","membership_prob","outlier_scores"
"1","10100170",7,1,NA
"2","10103676",7,1,NA
"3","10105175",3,0,0.00966597643349942
"4","10105717",7,1,NA
"5","10106887",7,0.756536519151524,1
"6","10114458",7,0.828188791928552,1
"7","10114531",7,1,NA
"8","10122654",7,1,NA
"9","10122977",7,1,NA
"10","10125457",7,1,NA
"11","10126833",7,1,NA
"12","10127011",7,1,NA
"13","10127301",7,1,NA
"14","10133472",7,1,NA
"15","10134922",7,1,NA
"16","10135891",7,0.787219308164858,1
"17","10141958",7,1,NA
"18","10145958",7,1,NA
"19","10148896",7,0.559409355263009,1
"20","10151766",7,1,NA
"21","10156310",7,1,NA
"22","10156978",7,0.827381065112116,1
"23","10158965",7,1,NA
"24","10165376",7,1,NA
"25","10167062",7,1,NA
"26","10172697",7,1,NA
"27","10173030",7,1,NA
"28","10176685",7,0.878267137677041,1
"29","10183418",7,1,NA
"30","10183564",7,1,NA
"31","10190559",7,1,NA
"32","10190969",7,0.756536519151524,1
"33","10195212",7,1,NA
"34","10202655",7,0.7289977936879,1
"35","10205669",7,1,NA
"36","10209757",7,1,NA
"37","10209909",7,1,NA
"38","10209921",7,1,NA
"39","10214320",7,0.756609294999591,1
"40","10216680",7,1,NA
"41","10216949",7,1,NA
"42","10217138",7,0.757101093516599,1
"43","10226183",7,1,NA
"44","10226968",0,0,1
"45","10227620",7,1,NA
"46","10227636",7,1,NA
"47","10233281",7,1,NA
"48","10233805",7,1,NA
"49","10237092",7,1,NA
"50","10237599",7,1,NA
"51","10243351",7,1,NA
"52","10243618",7,1,NA
"53","10245650",7,1,NA
"54","10248128",0,0,1
"55","10249930",7,1,NA
"56","10251323",7,0.827094436011851,1
"57","10253555",7,0.652569147770885,1
"58","10262382",7,0.495889968405932,1
"59","10264155",7,0.727359406396986,1
"60","10275609",7,1,NA
"61","10280407",7,1,NA
"62","10290396",7,1,NA
"63","10293155",7,1,NA
"64","10296148",3,0.0126120349509299,0
"65","10296501",7,1,NA
"66","10300888",7,1,NA
"67","10308564",7,1,NA
"68","10309335",7,1,NA
"69","10315943",7,0.756536519151524,1
"70","10320298",7,1,NA
"71","10324277",0,0,1
"72","10328668",7,0.827381065112116,1
"73","10332695",7,1,NA
"74","10336201",7,0.877413360841693,1
"75","10338249",7,1,NA
"76","10339981",7,1,NA
"77","10346841",7,1,NA
"78","10346909",7,1,NA
"79","10348494",7,1,NA
"80","10348903",7,0.877413360841693,1
"81","10353212",3,0.00966597643349942,0
"82","10358660",7,1,NA
"83","10359863",7,1,NA
"84","10366932",7,1,NA
"85","10371118",7,1,NA
"86","10377291",7,1,NA
"87","10378363",7,1,NA
"88","10378884",7,1,NA
"89","10380522",7,0.597957466927241,1
"90","10387332",7,1,NA
"91","10393013",7,1,NA
"92","10397565",7,1,NA
"93","10406558",7,1,NA
"94","10406845",7,1,NA
"95","10408408",7,1,NA
"96","10417776",7,1,NA
"97","10423111",7,0.479088804595703,1
"98","10425990",7,1,NA
"99","10427758",7,1,NA
"100","10428682",7,1,NA
"101","10430733",7,1,NA
"102","10439157",7,1,NA
"103","10439503",7,1,NA
"104","10444231",7,0.701908482306366,1
"105","10450417",7,1,NA
"106","10452861",7,1,NA
"107","10456558",7,1,NA
"108","10456648",7,1,NA
"109","10456849",7,0.788869299702848,1
"110","10459618",7,1,NA
"111","10463458",7,0.87769895747404,1
"112","10464888",7,1,NA
"113","10482026",7,1,NA
"114","10484803",7,0.326229122065287,1
"115","10485326",7,1,NA
"116","10491101",7,1,NA
"117","10491943",7,1,NA
"118","10492066",0,0,1
"119","10493043",7,1,NA
"120","10495016",7,0,1
"121","10500605",7,0.726597213858704,1
"122","10502099",7,1,NA
"123","10518117",7,0.701908482306366,1
"124","10521554",7,0.634231396079715,1
"125","10526851",0,0,1
"126","10527169",7,1,NA
"127","10532060",7,1,NA
"128","10533558",7,0.727359406396986,1
"129","10537456",7,1,NA
"130","10538284",7,1,NA
"131","10541164",7,1,NA
"132","10547588",0,0,1
"133","10549907",7,1,NA
"134","10551913",7,1,NA
"135","10568003",7,1,NA
"136","10569452",7,1,NA
"137","10575526",7,0.676618677792274,1
"138","106557",0,0,1
"139","1071253",0,0,1
"140","1073558",0,0,1
"141","1075371",0,0,1
"142","1079486",0,0,1
"143","1080702",4,0.0694763792382105,1
"144","1083240",0,0,1
"145","1084116",0,0,1
"146","1087259",0,0,1
"147","10911771",7,1,NA
"148","10916721",7,1,NA
"149","1092067",4,1,NA
"150","10926866",7,1,NA
"151","10928341",7,1,NA
"152","10932570",7,1,NA
"153","10933262",7,1,NA
"154","10935424",7,0.540392183605266,1
"155","10938038",7,1,NA
"156","10942828",0,0,1
"157","10942989",7,1,NA
"158","10945697",7,1,NA
"159","10946454",0,0,1
"160","10947344",7,1,NA
"161","1094847",0,0,1
"162","10952953",7,1,NA
"163","10955448",7,0.635184769587465,1
"164","10957100",7,1,NA
"165","10964253",7,1,NA
"166","10964476",7,1,NA
"167","10968368",7,1,NA
"168","10968951",7,0.728370850877004,1
"169","10976019",7,1,NA
"170","10976909",7,1,NA
"171","10989314",7,1,NA
"172","10998931",7,1,NA
"173","11017896",7,0.877413360841693,1
"174","1106467",4,1,NA
"175","1108042",4,1,NA
"176","11087021",0,0,1
"177","1128170",4,1,NA
"178","1129535",4,1,NA
"179","11299777",1,NA,NA
"180","1132460",4,0.899421214595206,1
"181","1144927",4,1,NA
"182","1146119",4,1,NA
"183","114655",0,0,1
"184","1147618",4,1,NA
"185","1149413",4,1,NA
"186","1162969",4,1,NA
"187","1163236",4,1,NA
"188","1164928",4,1,NA
"189","1167714",4,1,NA
"190","1168591",4,1,NA
"191","117712",0,0,1
"192","1177213",4,1,NA
"193","1185027",4,1,NA
"194","1186600",4,1,NA
"195","12094223",0,0,1
"196","12201836",1,NA,NA
"197","122527",0,0,1
"198","12301724",1,NA,NA
"199","12315453",6,0.646345043074598,1
"200","12728069",7,1,NA
"201","12742209",7,1,NA
"202","12754544",7,1,NA
"203","12754708",7,1,NA
"204","12771155",7,1,NA
"205","12772649",7,0.878267442051035,1
"206","12775853",7,1,NA
"207","1280564",4,1,NA
"208","1284082",4,1,NA
"209","1286282",4,0.876991417967647,1
"210","12891576",6,1,NA
"211","1293596",4,0.841244778611542,1
"212","129446",0,0,1
"213","13093323",1,NA,NA
"214","13243291",1,NA,NA
"215","13261909",1,NA,NA
"216","133303",5,0.101695500662883,0
"217","13501380",1,NA,NA
"218","1362617",0,0,1
"219","13672641",1,NA,NA
"220","1391575",0,0,1
"221","139372",0,0,1
"222","1422823",0,0,1
"223","14255494",0,0,1
"224","14286127",1,NA,NA
"225","14422812",0,0,1
"226","148676",0,0,1
"227","150767",0,0,1
"228","155090",0,0,1
"229","15526752",1,NA,NA
"230","164385",0,0,1
"231","1659964",0,0,1
"232","167577",0,0,1
"233","1679052",0,0,1
"234","168444",0,0,1
"235","17218388",1,NA,NA
"236","1764196",0,0,1
"237","1780730",0,0,1
"238","18357458",1,NA,NA
"239","192873",0,0,1
"240","193778",0,0,1
"241","1972182",0,0,1
"242","1986040",0,0,1
"243","199028",0,0,1
"244","201161",0,0,1
"245","2041846",0,0,1
"246","2048722",0,0,1
"247","2057575",0,0,1
"248","2062765",0,0,1
"249","207275",0,0,1
"250","2075504",0,0,1
"251","207842",0,0,1
"252","207900",0,0,1
"253","212177",0,0,1
"254","2148323",0,0,1
"255","2148500",0,0,1
"256","2156619",0,0,1
"257","2168448",0,0,1
"258","2168472",0,0,1
"259","2168958",0,0,1
"260","2171579",0,0,1
"261","21806828",0,0,1
"262","21808409",0,0,1
"263","21812925",0,0,1
"264","21813609",0,0,1
"265","21814545",0,0,1
"266","21815284",0,0,1
"267","21819237",0,0,1
"268","21865969",0,0,1
"269","2187570",2,0.182554691282721,0.0955560003280539
"270","22025199",0,0,1
"271","22025410",0,0,1
"272","220408",0,0,1
"273","2207617",2,0.0675388042547406,0.207116062413278
"274","2208170",2,0.140460015016596,0.139849783086473
"275","22087011",0,0,1
"276","22089519",0,0,1
"277","22096368",0,0,1
"278","22098455",6,1,NA
"279","22101143",0,0,1
"280","2217948",2,0.176763312330079,0.101918663729716
"281","2219199",2,0.173154571982074,0.105838310914267
"282","2220438",2,0.0870758496957399,0.190147939143773
"283","2226926",2,0.154592009629592,0.125471354717866
"284","2227803",2,0.195628144381454,0.0808560750042753
"285","223028",0,0,1
"286","223089",0,0,1
"287","2240264",2,0.118304729337846,0.161463683508153
"288","2242789",2,0.0491616824536588,0.222440355120321
"289","2243120",2,0.255409653303072,0.00706004609235544
"290","224522",0,0,1
"291","2273094",2,0.18006452432555,0.0983028220346545
"292","2275500",2,0.201111804733613,0.0745469655077379
"293","2279957",2,0.0497339985978422,0.221972054731616
"294","2282970",2,0,0.260666495470675
"295","2289629",2,0.193249286093277,0.0835663461032811
"296","2295127",2,0.077411567102071,0.198631287618668
"297","2296616",2,0.13897020458977,0.141338071608689
"298","2302309",2,0.11364020944203,0.165876529593125
"299","2303959",2,0.0897485908820834,0.187769997251881
"300","2308245",2,0.0698668687259549,0.205131524003853
"301","2311308",2,0.0752899294806922,0.200469933117391
"302","2313635",2,0.128311107439974,0.151837873764793
"303","2325026",2,0.244922179453879,0.0208512494849986
"304","2325457",2,0.069940512831275,0.205068584612804
"305","2328954",2,0.0949566064936943,0.183096070493361
"306","2331429",2,0.0604123997762678,0.213129776985907
"307","2335559",2,0.202667090411201,0.072741767412292
"308","2341303",2,0.111253696648038,0.168116366008069
"309","2345198",2,0.0832616740886712,0.193517404441061
"310","2345218",2,0.131366333426196,0.148854651874691
"311","2350820",2,0.132080261364942,0.14815452210818
"312","235308",0,0,1
"313","2358016",2,0.191468034885207,0.0855853121102564
"314","2365810",2,0.2430914933167,0.0353966039436412
"315","2367350",2,0.231448369615306,0.0380171281931245
"316","2372032",2,0.134513481079668,0.145759652673018
"317","2375003",2,0.149249624261571,0.0324338669834592
"318","2380778",2,0.137317454469927,0.142983118923494
"319","238196",0,0,1
"320","2390121",2,0.236156914626845,0.0320871934474045
"321","2404146",2,0.119818486375665,0.160021548867845
"322","2405132",2,0.152899619028843,0.0282648081542664
"323","2418290",2,0.166070451812733,0.113434095078617
"324","2435780",2,0.182286854234605,0.0958522455484134
"325","2439659",2,0.225718657255997,0.0451358392426529
"326","2442201",2,0.148791061213615,0.0329551139474389
"327","2451427",2,0.13265400106813,0.0509470819842216
"328","2459962",2,0.148258376746375,0.131974434095289
"329","2460699",2,0.0899439666519583,0.187595623305347
"330","246955",0,0,1
"331","247549",0,0,1
"332","2479129",2,0.155197335069896,0.0256218577580997
"333","2483770",2,0.0706815808647828,0.204434681045797
"334","2491358",2,0.12044743035244,0.159420903260417
"335","2498376",2,0.0937580300187794,0.184176490364218
"336","2501539",2,0.0424837447293881,0.227863234216974
"337","2509267",2,0.171027209536976,0.108132965237171
"338","2525830",2,0.244922179453879,0.0208512494849986
"339","2543058",2,0.168598005147742,0.110738837401147
"340","254337",0,0,1
"341","2544321",2,0.181319920531131,0.0969201241479113
"342","2552109",2,0.172586279749875,0.106452447627015
"343","2559274",2,0.104639214431861,0.174261910454129
"344","2561325",2,0.148641503666467,0.131583806688552
"345","2562060",2,0.117652505062436,0.162083522907672
"346","2580814",1,NA,NA
"347","2582614",1,NA,NA
"348","2585014",0,0,1
"349","260525",0,0,1
"350","263147",0,0,1
"351","2647934",2,0.1316152053898,0.14861072059513
"352","2651859",2,0.251798119722339,0.0119990338137033
"353","2653190",2,0.209583825255554,0.0646275618431478
"354","2655898",2,0.140890338883878,0.139418938009833
"355","2656217",2,0.144215555881109,0.0381254802275385
"356","2658238",2,0.21784177536696,0.0547519910358382
"357","2659089",2,0.174155376603963,0.104754715858004
"358","2673862",2,0.142176829396297,0.146352189069284
"359","2674625",2,0.185895834953279,0.0918440952984254
"360","2678210",2,0.201025273200916,0.0746471950479568
"361","2680904",2,0.224468898834125,0.072741767412292
"362","2681613",2,0.177070873999953,0.101583014660144
"363","2685603",2,0.0498474993637071,0.221879115158659
"364","2686100",2,0.142793488247837,0.137508296550269
"365","2689390",2,0.0649810710309795,0.209284987048834
"366","2697361",2,0.176882258981585,0.0227742453669821
"367","2698636",2,0.173867680781931,0.105066479872013
"368","269943",0,0,1
"369","2699526",2,0.121833804818634,0.158093868124095
"370","2703352",2,0.163435620468896,0.116226410519986
"371","2712246",2,0.215737440771917,0.0572882820556678
"372","2713732",2,0.0987418563782664,0.179665105095983
"373","2714810",2,0.139088790572192,0.141219795452876
"374","2715039",2,0.118578032092754,0.161203678319116
"375","2720635",2,0.160369779784883,0.119453437085787
"376","2721786",2,0.0813334397179622,0.19521017037744
"377","2726210",2,0.115204279521548,0.164402033805576
"378","2727580",2,0.163140259422876,0.0289130277057544
"379","2729809",2,0.225825102527103,0.0450045500794505
"380","2734175",2,0.123728601731031,0.156273380610343
"381","2753277",2,0.166403030847866,0.113080383100105
"382","2754640",2,0.149249624261571,0.0324338669834592
"383","2756109",2,0.168904551578581,0.110410836765364
"384","2757884",2,0.208948716376365,0.0653785413979772
"385","2758320",2,0.103134398652355,0.175647384158351
"386","2760178",2,0.193249286093277,0.0835663461032811
"387","2763407",2,0.201139287353528,0.0745151278249059
"388","2764163",2,0.148065111811888,0.132171349266218
"389","2768026",2,0.0692810961712852,0.205631795499248
"390","276847",0,0,1
"391","2768509",2,0.0925321346164838,0.185278583702944
"392","277294",0,0,1
"393","2773739",2,0.158932222327473,0.0212949858886392
"394","2777472",2,0.254396188350031,0.0320871934474045
"395","2778036",2,0.138259872647074,0.0447732151638838
"396","2781900",2,0.107824058488507,0.171314232844284
"397","2783137",2,0.166578290740888,0.112893873155079
"398","2784368",2,0.0852935036683207,0.19172597167033
"399","2784601",2,0.227840580884559,0.0425118359932982
"400","2785340",2,0.239261459935413,0.0281371777660234
"401","2787485",2,0.227384456555441,0.0430771024445777
"402","2789436",2,0.0664205244596061,0.208065811321132
"403","2790546",2,0.0585311128344548,0.214702137682727
"404","2792881",2,0.142475271827421,0.0400775345921698
"405","2793888",2,0.164808741778315,0.114773415967576
"406","2794787",2,0.186025942897399,0.0117966922904581
"407","2802561",2,0.157887353198303,0.122049161311996
"408","2802825",2,0.0449796445869463,0.225845291842437
"409","2802875",2,0.12292834144249,0.157043216120697
"410","2804329",2,0.184605748319415,0.093280945989616
"411","2807320",2,0.12866657446547,0.15149185964515
"412","2807406",2,0.187713186621014,0.0898122530712857
"413","2811592",2,0.170249210938756,0.108969205843377
"414","2815464",2,0.133257358403223,0.146997656458588
"415","2819060",2,0.163239769552332,0.116433265316899
"416","2820734",2,0.0528378344471298,0.219422469120938
"417","2827950",2,0.206941428736871,0.0677441347720823
"418","2837196",2,0.134223895351499,0.146045379908598
"419","2839420",2,0.0278731523851718,0.239468073180651
"420","2840665",2,0.0809926956959597,0.195508565528521
"421","2840940",2,0.103759844793254,0.175072105133725
"422","2841051",2,0.202667090411201,0.072741767412292
"423","2847862",2,0.00159784072380181,0.259483267679116
"424","2858013",2,0.093975849823628,0.183980355948126
"425","2862850",2,0.105202894499722,0.173741734316445
"426","2866907",2,0.135053059780786,0.145226753051527
"427","2881841",2,0.214442909780431,0.0588417904513141
"428","2885671",2,0.219824281561656,0.0532535095460732
"429","2890004",2,0.0188462572641044,0.246465184479925
"430","2894246",2,0.145421123784185,0.134856330871191
"431","2899062",2,0.118587002092228,0.161195142022757
"432","2903108",2,0.153662169598177,0.126432166953585
"433","2905568",2,0.185112298794726,0.0969201241479113
"434","2907591",2,0.0725992893508438,0.202789585947362
"435","2908859",2,0.166219827254849,0.113275262836808
"436","2909511",2,0.151354603498137,0.128807500073794
"437","2911785",2,0.0948772054509508,0.183167732619444
"438","2918820",2,0.144488764574488,0.135799187766837
"439","2925351",2,0.148548669516701,0.131678490525506
"440","2928880",2,0.214325320792243,0.0589826500774612
"441","2929153",2,0.150756314938346,0.129421251480192
"442","293056",0,0,1
"443","2933003",2,0.133011166386805,0.050556109488659
"444","2933334",2,0.139304277112909,0.141004788487472
"445","2934271",2,0.145020114584074,0.135262107166817
"446","2937381",2,0.184748934195684,0.0931216952167887
"447","2937537",2,0.150988366072627,0.030452330308095
"448","2940857",2,0.147768470737088,0.132473419319785
"449","2943340",2,0.191546399036342,0.0854966770535048
"450","2946535",2,0.160994915436217,0.118797349227365
"451","2949753",2,0.126790619887209,0.153314747450576
"452","2949943",2,0.148548669516701,0.131678490525506
"453","2950021",2,0.117861583476706,0.161884925675039
"454","2950195",2,0.114313593248614,0.165242348879295
"455","2950677",2,0.182755738546138,0.0953335013768535
"456","29527",5,0,0.00470988541258965
"457","2954100",2,0.0687297550271254,0.206102086348889
"458","2955312",2,0.194312875821836,0.00163248055001419
"459","2966942",2,0.105015476293048,0.173914760596008
"460","2968146",2,0.19231503466649,0.116613882638049
"461","2971576",2,0.134817063508239,0.145459909869171
"462","2974117",2,0.0594134672533351,0.213965457946383
"463","2974376",2,0.126197236026522,0.153889716293269
"464","2974404",2,0.163471162622999,0.116613882638049
"465","2974470",2,0.153517056202144,0.126581923538579
"466","2974745",2,0.112883429624505,0.166588102151691
"467","2986072",2,0.160286884688584,0.119540363192809
"468","2986312",2,0.195628144381454,0.0808560750042753
"469","2988000",2,0.18240511207629,0.0957214686030279
"470","2990350",2,0.128497351981976,0.151656617210836
"471","2990674",2,0.0847201578663657,0.192232287334283
"472","2993304",2,0.260666495470675,0
"473","2994352",2,0.195628144381454,0
"474","2997040",2,0.140890338883878,0.0418484525640337
"475","3006007",2,0.118313356847528,0.161455478234493
"476","3010233",2,0.18006452432555,0.0983028220346545
"477","3011328",0,0,1
"478","313822",0,0,1
"479","317209",0,0,1
"480","3193597",4,0.0592103686086426,1
